Field,Frequency,Lat,Lon,,
6308,37,-16.39265,34.86442,,
6309,20,-16.39926,34.86792,,
6307,17,-16.3946,34.92804,,
7107,24,-16.39063,34.86183,,
6206,14,-16.4002,34.92427,,
6602,8,-16.39348,34.87011,,
6417,5,-16.40087,34.86544,,
7502,3,-16.40094,34.92251,,
6400,13,-16.40094,34.92251,,
7207,7,-16.40094,34.92251,,
7501,8,,,,
7410,4,,,,
6417,5,,,,
6207,28,,,,
