Class,2005,2015,2025
 Water,456.6,160.74,662.12
Sugarcane,2990.71,3464.44,3608.43
 Built-up,1682.7,1914.86,2235.21
Bare land,5139.66,2115.56,1734.06
Roads,557.26,409.96,398.21
Wetlands,3977.5,2254.67,3385.51
Tracks,1977,1481.55,1465.00 
Trees,3255.44,3599.70 ,4285.86
Agriculture,5114.28,10652.15,8092.8
