Farm,Field ,Eastings,Northings,Crop-Feature,Age-Crop,Activity,Date,Time,Day/Night,Frequency,Rate
Farm61,6112,705497.049,8186009.942,Sugarcane,4,Intruders,7/2/2026,1630,Day,2,High
Farm61,6109,705804.897,8186656.278,Sugarcane,6,Intruders,26/01/2026,1540,Day,8,High
Farm62,6400,701889.104,8185595.502,Sugarcane,9,Intruders,3/3/2026,1600,Day,10,Low 
Farm62,6506,701480.0626,8188073.757,Fuel,N/A,Fuel Mongers,5/3/2026,1200,Day,1,Low 
Farm72,7407,698771.9037,8189744.51,Fertilizer,2,Sweepers,5/2/2026,0800,Day,12,Low 
Farm62,6611,699298.1745,8185504.06,Electricity Cables,N/A,Others,4/3/2026,1700,Day,1,High
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm61,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,6409,702142.058,8185540.017,Sugarcane,5,Intruders,16/01/2026,1200,Day,8,Low 
Farm62,6607,699771.012,8187173.042,Sugarcane,8,Intruders,12/4/2026,1130,Day,12,Low 
Farm62,6609,699112.81,8186607.006,Sugarcane,9,Intruders,8/3/2026,0800,Day,15,High
Farm62,6608,699459.4951,8187129.537,Sugarcane,10,Intruders,3-Feb,1100,Day,24,High
Farm62,6610,699550.4877,8185988.719,Sugarcane,10,Intruders,4/3/2026,1430,Day,15,High
