Farm,Field ,Eastings,Northings,Crop-Feature,Age-Crop,Activity,Date,Time,Day/Night,Frequency,Rate
Farm62,6612,700451.373,8185902.927,Fish,N/A,Fish-Mongers,8/2/2026,1100,Day,2,Low 
Farm62,6609,,,Fish,N/A,Fish-Mongers,12/3/2026,1008,Day,6,High
Farm62,6612,,,Sugarcane,,Intruders,12/3/2026,1145,Day,2,Low 
Farm62,6616,,,Sugarcane,,Intruders,12/3/2026,1435,Day,3,Low 
Farm62,6617,,,Fish,,Fish-Mongers,12/3/2026,1744,Day,7,Medium
Farm62,,,,,,,,,,,
Farm62,6609,699112.7481,8186716.577,Sugarcane,,Intruders,19/03/2026,0650,Day,16,High
Farm62,6610,699479.9121,8185981.621,Sugarcane,,Intruders,19/03/2026,1000,Day,12,High
Farm61,6109,705907.1997,8186437.264,Sugarcane,,Intruders,19/03/2026,1115,Day,26,Medium
Farm61,6112,705498.5718,8185821.327,Sugarcane,,Intruders,19/03/2026,1200,Day,53,High
Farm62,6611,699213.3489,8185805.883,Sugarcane,,Intruders,19/03/2026,0900,Day,23,High
Farm61,6113,705309.7802,8185741.213,Sugarcane,,Intruders,19/03/2026,1030,Day,22,Medium
Farm62,6602,699897.221,8186631.881,Sugarcane,,Intruder,24/03/2026,1139,Day,1,High
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm62,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,7002,704616.4092,8189023.921,Fish,N/A,Fish-Mongers,8/2/2026,1100,Day,2,Low 
Farm71,,,,,,,,,,,
Farm71,7209,702285.2775,8189635.693,Sugarcane,8,Intruders,26/02/2026,1200,Day,2,Low 
Farm72,7501,698187.3985,8189039.309,Sugarcane,9,Intruders,16/03/2026,1500,Day,10,Low 
Farm72,7403,699343.0239,8188871.564,Fish,N/A,Fish-Mongers,8/2/2026,1100,Day,2,Low 
Farm72,7502,,,Fish,,Fish-Mongers,12/3/2026,1225,Day,7,Medium
Farm72,7416,,,Sugarcane,,Intruders,12/3/2026,1629,Day,6,Low 
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm71,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
Farm72,,,,,,,,,,,
